year,cum_invest_hat,annual_invest
2016,0.0,0.0
2017,1.381568735174962,1.381568735174962
2018,11.435923945279283,10.05435521010432
2019,82.84815126297423,71.41222731769494
2020,514.565072855082,431.7169215921078
2021,1783.238576906045,1268.673504050963
2022,2691.064052501569,907.8254755955243
2023,2892.6133011467477,201.54924864517852
2024,2922.573044095651,29.959742948903113
2025,2926.7220797456557,4.149035650004862
2026,2927.290888121153,0.5688083754971558
2027,2927.3687599343953,0.0778718132423819
2028,2927.3794188195448,0.0106588851494962
2029,2927.3808777411055,0.0014589215606974903
2030,2927.381077428454,0.00019968734841313562
2031,2927.3811047602985,2.7331844648870174e-05
2032,2927.381108501295,3.7409963624668308e-06
2033,2927.3811090133368,5.120418791193515e-07
2034,2927.381109083422,7.008520697127096e-08
2035,2927.381109093015,9.59289536694996e-09
2036,2927.381109094328,1.3133103493601084e-09
2037,2927.3811090945073,1.7917045624926686e-10
2038,2927.381109094532,2.4556356947869062e-11
2039,2927.3811090945355,3.637978807091713e-12
2040,2927.381109094536,4.547473508864641e-13
2041,2927.381109094536,0.0
2042,2927.381109094536,0.0
2043,2927.381109094536,0.0
2044,2927.381109094536,0.0
2045,2927.381109094536,0.0
